Company Name,Invoice Number,Email,Date,Total,Processed Date
slicedinvoices,INV-3337,admin@slicedinvoices.com,2016-01-31,93.5,2022-09-15
mapquest,V-PR352248,cerasmus0@mapquest.com,1982-02-26,75.0,2022-09-15
example,V-RK356748,Jane@example.comEmail,2022-08-26,116.0,2022-09-15
example,V-RK356748,Jane@example.comEmail,2022-08-26,116.0,2022-09-15
wikia,V-RK356748,qjeayes2@wikia.com,1976-10-13,63.0,2022-09-15
surveymonkey,V-PR352248,etethcote1@surveymonkey.com,1984-12-06,182.0,2022-09-15
barnesandnoble,V-UB359948,kmatushenko1@barnesandnoble.com,2018-11-18,85.0,2022-09-15
reuters,V-LT356648,rauthers2@reuters.com,1980-12-24,86.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
myexample,INV-0013,example@myexample.com,2022-09-13,55.0,2022-09-15
